类型,货币,金额,汇率（相对本位币）,项目,分类,父类,账户,付款,收款,商家,地址,日期,标签,作者,备注,图一,图二,图三
支出,SGD,1,5.575,,交通,,H,,,,,2025/5/11 20:42,,胡,xxx,,,
支出,SGD,1,5.575,,日用,,H,,,,,2025/5/11 20:27,,胡,xxx,,,
支出,SGD,1,5.575,,餐饮,,H,,,,,2025/5/11 20:26,,胡,xxx,,,
支出,CNY,1,1,,交通,,Z,,,,,2025/5/11 18:59,,胡,xxx,,,
支出,SGD,2,5.575,,投资,,H,,,,,2025/5/11 18:45,,胡,xxx,,,
收入,SGD,2,5.575,,投资,,D,,,,,2025/5/11 18:31,,胡,,,,
收入,CNY,2,1,,投资,,T,,,,,2025/5/11 18:29,,胡,,,,
收入,CNY,3,1,,投资,,GT,,,,,2025/5/11 18:25,,胡,,,,
收入,CNY,3,1,,投资,,L,,,,,2025/5/11 18:25,,胡,,,,
转账,CNY,3,1,,账户互转,,,H,Z,,,2025/5/11 18:23,,胡,xxx,,,
收入,CNY,1,1,,投资,,J,,,,,2025/5/11 18:22,,胡,,,,
收入,CNY,1,1,,投资,,W,,,,,2025/5/11 18:22,,胡,,,,
收入,CNY,2,1,,投资,,Y,,,,,2025/5/11 18:20,,胡,,,,
收入,CNY,2,1,,投资,,L,,,,,2025/5/11 18:17,,胡,,,,
收入,CNY,3,1,,交通,,Y,,,,,2025/5/11 18:17,,胡,xxx,,,
支出,SGD,3,5.5761,,餐饮,,P,,,,,2025/5/11 14:21,,胡,xxx,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
